observed_on,bank_id,bank,scope,status,source_state,latest_period,report_url,availability_pct,aisp_availability_pct,pisp_availability_pct,aisp_response_ms,pisp_response_ms,aisp_error_pct,pisp_error_pct,metric_method,note,source_url
2026-09-11,csas,Česká spořitelna,main,ok,ok,2026-Q2,https://developers.erstegroup.com/api-health-check/bank.csas/last-quarter,,99.5523,99.2837,,,,,prumer dennich hodnot z verejneho JSON podle AISP/PISP,Portal poskytuje verejne denni hodnoty dostupnosti pro jednotliva PSD2 API.,https://developers.erstegroup.com/api-health-check/bank.csas/last-quarter
2026-09-11,csob,ČSOB,main,partial,ok,2026-Q2,https://www.csob.cz/documents/10710/21871290/psd2-q2-2026.xlsx,,,,879.2395,612.5572,0.0596,0.0132,prumer dennich XLSX hodnot odezvy a chybovosti; uptime chybi,"Oficialni reportingova stranka je obcas nestabilni; XLSX publikuje odezvu a chybovost, ale ne dostupnost.",https://www.csob.cz/csob/otevrene-bankovnictvi-csob/pro-vyvojare/seznam-api/reporting
2026-09-11,kb,Komerční banka,main,ok,ok,2026-Q2,https://www.kb.cz/getmedia/956647de-9725-4cf0-9975-52c1e3462491/kb-psd2-2026-q2-cz.pdf,97.1856,,,,,,,soucet minut provozu API / kalendarni minuty,Dostupnost je vypoctena z denne publikovane doby provozuschopnosti API.,https://www.kb.cz/cs/dostupnost-sluzeb-internetoveho-a-otevreneho-bankovnictvi-api
2026-09-11,rb,Raiffeisenbank,main,outdated,ok,2025-Q3,,100.0,,,,,,,posledni rucne overena vychozi hodnota,Dokumenty jsou nacitane dynamicky; posledni rucne overeny podklad v dodanem sesitu je 2025-Q3.,https://www.rb.cz/informacni-servis/dokumenty-ke-stazeni
2026-09-11,air,Air Bank,main,ok,ok,2026-Q2,https://www.airbank.cz/file-download/statistiky-dostupnosti-2q-2026,98.9736,,,,,,,soucet minut provozu API / kalendarni minuty,Dostupnost je vypoctena z denne publikovane doby provozuschopnosti API.,https://www.airbank.cz/aplikace-tretich-stran/
2026-09-11,moneta,MONETA Money Bank,main,partial,ok,rolling-90d-to-2026-09-10,https://www.moneta.cz/otevrene-bankovnictvi,,,,500.8889,150.7111,0.1767,0.0078,prumer dennich hodnot v klouzavem 90dennim okne; uptime chybi,"Banka publikuje klouzavych 90 dni odezvy a chybovosti, nikoli dostupnost/uptime.",https://www.moneta.cz/otevrene-bankovnictvi
2026-09-11,fio,Fio banka,main,ok,ok,2026-Q2,https://developers.fio.cz/stats/PSD2_2026Q2.pdf,99.9809,,,,,,,soucet PSD2 API provozu / (provoz + vypadek),Dostupnost je vypoctena z denni doby provozu a vypadku PSD2 API.,https://developers.fio.cz/stats.html
2026-09-11,mbank,mBank,main,missing,ok,,,,,,,,,,,CZ portal pri overeni zobrazoval polska data; vysledek je proto veden jako nekonzistentni zdroj.,https://developer.api.mbank.cz/reports
2026-09-11,unicredit,UniCredit Bank,main,ok,ok,2026-Q2,https://developer.unicredit.eu/report?view=kpi,100.0,,,345.29,248.6567,0.1567,0.1567,prumer mesicnich hodnot CZ Dedicated Interface,"Mesicni data pro CZ, Dedicated Interface; tracker sklada posledni uzavrene ctvrtleti.",https://developer.unicredit.eu/report?view=kpi
2026-09-11,creditas,Banka CREDITAS,main,ok,ok-direct-pdf,2026-Q2,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-2q-2026.pdf,99.956,,,1819.5176,936.4353,,,aritmeticky prumer dennich uptime hodnot,Prehledova stranka muze blokovat automaticke klienty; PDF maji stabilni a predvidatelnou adresu.,https://www.creditas.cz/povinne-uverejnovane-informace#statisticke-udaje-o-dostupnosti
